id,name,rating,review_count,price,categories,address,city,state,zip_code,latitude,longitude,url,hours,fetched_city,fetched_category
_OCXbX_yLRh5R5rD660KMg,Presotea Odessa,3.3,20,,"Bubble Tea, Juice Bars & Smoothies, Coffee & Tea",633 E 42nd St,Odessa,TX,79762,31.885231382964303,-102.3750202,https://www.yelp.com/biz/presotea-odessa-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:00 | Tuesday: 11:00-21:00 | Wednesday: 11:00-21:00 | Thursday: 11:00-21:00 | Friday: 11:00-21:30 | Saturday: 11:00-21:30 | Sunday: 11:00-21:30,"Odessa, TX",fastfood
EtsuTxZf3uTwD2TA7xEFdA,El Pollo Riendo,4.0,2,,Mexican,506 W University Blvd,Odessa,TX,79764,31.86727,-102.3866,https://www.yelp.com/biz/el-pollo-riendo-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 10:00-21:00 | Tuesday: 10:00-21:00 | Wednesday: 10:00-21:00 | Thursday: 10:00-21:00 | Friday: 10:00-21:00 | Saturday: 10:00-21:00 | Sunday: 10:00-21:00,"Odessa, TX",fastfood
daCtNhLqo8YAxu1OclcMKQ,Torchy's Tacos,3.2,125,$$,"Tacos, Tex-Mex",306 E 5th St,Odessa,TX,79761,31.84935,-102.366641,https://www.yelp.com/biz/torchys-tacos-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 07:00-22:00 | Tuesday: 07:00-22:00 | Wednesday: 07:00-22:00 | Thursday: 07:00-22:00 | Friday: 07:00-22:00 | Saturday: 10:00-22:00 | Sunday: 10:00-22:00,"Odessa, TX",fastfood
85I47SonVrrWzcLdyS0ehg,Jack Jordan's Bar-B-Q,3.2,42,$$,"Barbeque, Sandwiches, Breakfast & Brunch",1501 John Ben Sheppard Pkwy,Odessa,TX,79761,31.876175351823,-102.32903657505,https://www.yelp.com/biz/jack-jordans-bar-b-q-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-20:00 | Tuesday: 11:00-20:00 | Wednesday: 11:00-20:00 | Thursday: 11:00-20:00 | Friday: 11:00-20:00 | Saturday: 11:00-20:00 | Sunday: Closed,"Odessa, TX",fastfood
llhBgZk9ovcPyJCvlyJTxg,Johnny's Barbecue,3.2,31,$$,Barbeque,2201 Kermit Hwy,Odessa,TX,79761,31.86294,-102.38403,https://www.yelp.com/biz/johnnys-barbecue-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-20:30 | Tuesday: 11:00-20:30 | Wednesday: 11:00-20:30 | Thursday: 11:00-20:30 | Friday: 11:00-20:30 | Saturday: 11:00-20:30 | Sunday: 11:00-20:30,"Odessa, TX",fastfood
oiiRCGWPWvGpoJP0xFplqw,Garely's Restaurant,3.2,31,$$,Mexican,13698 TX-191,Odessa,TX,79765,31.92455956575797,-102.28660852208928,https://www.yelp.com/biz/garelys-restaurant-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 06:00-21:00 | Tuesday: 06:00-21:00 | Wednesday: 06:00-21:00 | Thursday: 06:00-21:00 | Friday: 06:00-22:00 | Saturday: 06:00-22:00 | Sunday: 08:00-21:00,"Odessa, TX",fastfood
IM950TP8RwZhWkUoxqGJkQ,La Esperanza Restaurant,3.2,26,$,Mexican,1511 N County Rd W,Odessa,TX,79763,31.850206671495883,-102.3925895049288,https://www.yelp.com/biz/la-esperanza-restaurant-odessa-3?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 08:00-21:00 | Tuesday: 08:00-21:00 | Wednesday: 08:00-21:00 | Thursday: 08:00-21:00 | Friday: 08:00-21:00 | Saturday: 08:00-21:00 | Sunday: 08:00-17:00,"Odessa, TX",fastfood
we8cuibpCqB5zzhW-zaERw,Ledgens Pizza,3.2,16,,"Pizza, Sandwiches, Italian",4101 Medical Park Dr,Odessa,TX,79765,31.9182607,-102.2869708,https://www.yelp.com/biz/ledgens-pizza-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:00 | Tuesday: 11:00-21:00 | Wednesday: 11:00-21:00 | Thursday: 11:00-21:00 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: 11:00-21:00,"Odessa, TX",fastfood
LivtDV-Zcsx16Gm3jaOQOg,La Margarita,3.2,52,$$,Mexican,1301 S Grant Ave,Odessa,TX,79761,31.8330944,-102.358546,https://www.yelp.com/biz/la-margarita-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,"Monday: 11:00-14:00, 17:00-20:00 | Tuesday: 11:00-14:00, 17:00-20:00 | Wednesday: Closed | Thursday: 11:00-14:00, 17:00-21:00 | Friday: 11:00-21:00 | Saturday: 11:00-21:00 | Sunday: 09:00-20:30","Odessa, TX",fastfood
pIuaSoGdBNeSUlPX4111ew,Taco Villa,3.2,35,$,Mexican,2120 E 42nd St,Odessa,TX,79762,31.88884626263473,-102.3520622,https://www.yelp.com/biz/taco-villa-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 06:30-22:00 | Tuesday: 06:30-22:00 | Wednesday: 06:30-22:00 | Thursday: 06:30-22:00 | Friday: 06:30-23:00 | Saturday: 06:30-23:00 | Sunday: 06:30-22:00,"Odessa, TX",fastfood
