id,name,rating,review_count,price,categories,address,city,state,zip_code,latitude,longitude,url,hours,fetched_city,fetched_category,bayes_score,popularity,rank_score
LD5aJTWvMKid_h66jI91sQ,Red Lobster,2.5,111,$$,"Seafood, American",4536 E University Blvd,Odessa,TX,79762.0,31.87885710339292,-102.330045,https://www.yelp.com/biz/red-lobster-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:00 | Tuesday: 11:00-21:00 | Wednesday: 11:00-21:00 | Thursday: 11:00-21:00 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: 11:00-21:00,"Odessa, TX",seafood,2.499615911471623,4.718498871295094,4.2687811400141396
f6gamwfaf2rOOJgYhv5AGg,La Toreada Taco House,3.4,16,$,Mexican,308 W University Blvd,Odessa,TX,79764.0,31.86777,-102.38433,https://www.yelp.com/biz/la-toreada-taco-house-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-22:00 | Tuesday: 11:00-22:00 | Wednesday: 11:00-22:00 | Thursday: 11:00-22:00 | Friday: 11:00-22:00 | Saturday: 11:00-22:00 | Sunday: 11:00-22:00,"Odessa, TX",mexican,2.9949094145683195,2.833213344056216,4.267692012207503
0ZFVVvf1etaW1DSM5C9t7w,Chito's,2.5,109,$$,"Mexican, Sports Bars",4400 N Midland Dr,Midland,TX,79707.0,32.029069,-102.143378,https://www.yelp.com/biz/chitos-midland?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-22:00 | Tuesday: 11:00-22:00 | Wednesday: 11:00-22:00 | Thursday: 11:00-23:00 | Friday: 10:00-22:00 | Saturday: 10:00-22:00 | Sunday: 10:00-22:00,"Midland, TX",mexican,2.4996096149383713,4.700480365792417,4.262014502512935
EveDa5wHnh5btbqXYqz2mQ,Wienerschnitzel,3.1,23,$,"Hot Dogs, Fast Food, Sandwiches",4404 Tanglewood Ln,Odessa,TX,79761.0,31.8966095327386,-102.342864844861,https://www.yelp.com/biz/wienerschnitzel-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 10:00-00:00 | Tuesday: 10:00-00:00 | Wednesday: 10:00-00:00 | Thursday: 10:00-00:00 | Friday: 10:00-00:00 | Saturday: 10:00-00:00 | Sunday: 10:00-00:00,"Odessa, TX",sandwiches,2.8820103617355906,3.1780538303479458,4.25588797211803
jZUAvhZTAEMugSwTkzFgsQ,Texas Burger,3.0,27,$$$,"Burgers, Fast Food",5200 Andrews Hwy,Odessa,TX,79762.0,31.893296,-102.387837223157,https://www.yelp.com/biz/texas-burger-odessa-2?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 10:00-22:30 | Tuesday: 10:00-22:30 | Wednesday: 10:00-22:30 | Thursday: 10:00-22:30 | Friday: 10:00-22:30 | Saturday: 10:00-22:30 | Sunday: 10:00-22:30,"Odessa, TX",burgers,2.836309325562032,3.332204510175204,4.253983734595501
97jgvWPjsPILz-cxkpOMxw,Papa Tacho's Greenwood,5.0,6,,"Mexican, Breakfast & Brunch",1805 SCR 1105,Midland,TX,79706.0,32.01886266664805,-101.935403643633,https://www.yelp.com/biz/papa-tachos-greenwood-midland?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 07:00-20:00 | Tuesday: 07:00-20:00 | Wednesday: 07:00-20:00 | Thursday: 07:00-20:00 | Friday: 07:00-20:00 | Saturday: 07:00-14:00 | Sunday: Closed,"Midland, TX",mexican,3.2869670011832244,1.9459101490553132,4.246388368265076
eQAi08CkfCpz9J2c985_0Q,The Tailgate,5.0,6,,Food Trucks,4401 N Big Spring St,Midland,TX,79705.0,32.0419122725332,-102.08828363308876,https://www.yelp.com/biz/the-tailgate-midland?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 16:00-00:00 | Saturday: 11:00-00:00 | Sunday: 11:00-00:00,"Midland, TX",foodtrucks,3.2869670011832244,1.9459101490553132,4.246388368265076
AJwrLP1Yo1ZvDPv-O_lD7Q,Chinese Kitchen,2.8,40,$,Chinese,3183 E University Blvd,Odessa,TX,79762.0,31.8751959,-102.3498149,https://www.yelp.com/biz/chinese-kitchen-odessa?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 11:00-21:00 | Tuesday: 11:00-21:00 | Wednesday: 11:00-21:00 | Thursday: 11:00-21:00 | Friday: 11:00-21:00 | Saturday: 11:00-21:00 | Sunday: Closed,"Odessa, TX",chinese,2.7255164721222878,3.713572066704308,4.243726747854657
EF0kiY7_OYpbqn7h0Vsfig,Chick-fil-A,3.5,14,,"Fast Food, Chicken Shop",4109 Faudree Rd,Odessa,TX,79765.0,31.916726473328552,-102.29067497436402,https://www.yelp.com/biz/chick-fil-a-odessa-8?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Monday: 06:30-22:00 | Tuesday: 06:30-22:00 | Wednesday: 06:30-22:00 | Thursday: 06:30-22:00 | Friday: 06:30-22:00 | Saturday: 06:30-22:00 | Sunday: Closed,"Odessa, TX",indian,3.016754556388195,2.70805020110221,4.242182973853653
6YHbeaTVUhe0Us-VQVulBg,Romie's Mexican Restaurante,4.1,9,,Mexican,701 S Marienfeld St,Midland,TX,79701.0,31.9909763336182,-102.078735351562,https://www.yelp.com/biz/romies-mexican-restaurante-midland?adjust_creative=hnFUw3NBo1Aiff5RjJN46g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hnFUw3NBo1Aiff5RjJN46g,Hours not available,"Midland, TX",mexican,3.1523805919309664,2.302585092994046,4.241174275694564
